Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
1,Saul Alvarez,super middle,58 2 2,32.0,"Guadalajara, Jalisco, Mexico",58,2,2,62,93.5,"Guadalajara, Jalisco", Mexico,24.13075030091165,-102.0317007509803
2,Tyson Fury,heavy,33 0 1,34.0,"Morecambe, Lancashire, United Kingdom",33,0,1,34,97.1,"Morecambe, Lancashire", United Kingdom,54.64676870554941,-3.165991344063045
3,Dmitrii Bivol,light heavy,21 0 0,31.0,"Indio, California, USA",21,0,0,21,100.0,"Indio, California", USA,39.18293678542366,-100.5886117485029
4,Terence Crawford,welter,39 0 0,35.0,"Omaha, Nebraska, USA",39,0,0,39,100.0,"Omaha, Nebraska", USA,40.09624743984849,-100.46704891233944
5,Gennadiy Golovkin,middle,42 2 1,40.0,"Los Angeles, California, USA",42,2,1,45,93.3,"Los Angeles, California", USA,39.97539780880513,-100.52219536998186
6,Oleksandr Usyk,heavy,20 0 0,35.0,"Oxnard, California, USA",20,0,0,20,100.0,"Oxnard, California", USA,40.09975009853758,-99.99034006257642
7,Anthony Joshua,heavy,24 3 0,33.0,"Watford, Hertfordshire, United Kingdom",24,3,0,27,88.9,"Watford, Hertfordshire", United Kingdom,55.36769696419605,-3.1822133158123567
8,Naoya Inoue,bantam,24 0 0,29.0,"Yokohama, Kanagawa, Japan",24,0,0,24,100.0,"Yokohama, Kanagawa", Japan,36.783450583462155,139.11542561399634
9,Errol Spence Jr,welter,28 0 0,32.0,"Desoto, Texas, USA",28,0,0,28,100.0,"Desoto, Texas", USA,40.36405251782513,-100.77203803644814
10,Shakur Stevenson,super feather,19 0 0,25.0,"Alexandria, Virginia, USA",19,0,0,19,100.0,"Alexandria, Virginia", USA,39.550952078191386,-100.62632434286088
11,Artur Beterbiev,light heavy,18 0 0,37.0,"Montreal, Quebec, Canada",18,0,0,18,100.0,"Montreal, Quebec", Canada,61.20771368848398,-108.55729502314398
12,Andy Ruiz,heavy,35 2 0,33.0,"Imperial, California, USA",35,2,0,37,94.6,"Imperial, California", USA,39.70717401069088,-100.78295451759607
13,Jermell Charlo,super welter,35 1 1,32.0,"Richmond, Texas, USA",35,1,1,37,94.6,"Richmond, Texas", USA,40.00312006581965,-100.75188426335183
14,Regis Prograis,super light,28 1 0,33.0,"Houston, Texas, USA",28,1,0,29,96.6,"Houston, Texas", USA,40.196824702680274,-99.72739478796042
15,Josh Taylor,super light,19 0 0,31.0,"Haddington, Scotland, United Kingdom",19,0,0,19,100.0,"Haddington, Scotland", United Kingdom,54.23295644844904,-2.8390995590403807
16,Stephen Fulton,super bantam,21 0 0,28.0,"Philadelphia, Pennsylvania, USA",21,0,0,21,100.0,"Philadelphia, Pennsylvania", USA,40.52813968082311,-101.71549744335715
17,Yordenis Ugas,welter,27 5 0,36.0,"Miami, Florida, USA",27,5,0,32,84.4,"Miami, Florida", USA,40.10394291163455,-100.34887245368563
